Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,0.0,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8.0,9.4,0.0,0.0,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.2,17.8,18.0,19.1,20.6
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.9,62.0,78.6,76.6,83.4,89.1,92.5,94.3,93.7,127,119,126,118.4,0.00
Dominican Rep.,47.3,53.5,47.8,33.9,63.1,96.0,101,84.4,107,151,159,175,247,306,272,156,153,272,259,275,334,321,355,349,396,383,438,458,457
El Salvador,179,213,164,145,134,116,109,112,111,112,111,115,110,151,162,127,128,133,142,166,173,190,201,221,224,238,233,248,233
Guatemala,147,152,132,119,154,144,153,158,141,132,140,124,158,197,158,179,115,104,131,136,166,147,170,197,224,250,264,274,271
Haiti,2.0,2.2,2.7,2.6,1.7,1.6,1.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Honduras,132,138,67.1,47.4,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,52.5,63.0,63.6,82.2,60.6,62.6,75.6,95.9,132,157,170,200,212,285,328,322,343
Jamaica,30.9,40.9,38.6,31.9,47.2,44.5,34.2,35.3,41.8,54.9,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,83.5,131,115,116,134,138,128,121,118,118
Mexico,982,1153,1327,1600,2000,2327,2889,1713,2064,2394,2481,2908,3323,3540,3480,3245,3129,3622,4082.5,4780,4940,4856,5897,6471,6979,7838,8663,7740,6020
Nicaragua,0.0,0.0,1142,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,74.5,81.4,98.9,72.6
Panama,103,102,73.1,78.6,78.8,95.2,101,96.6,101,118,104,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Trinidad & Tobago,0.0,0.0,0.0,0.0,0.0,22.6,24.2,0.0,0.0,0.0,0.0,0.0,0.0,13.9,19.5,33.7,75.9,97.8,116,125,139,139,143,146,169,211,189,207,236
Canada,9897,10747,11415,11339,10789,10269,9577,9177,8616,7945,7749,8211,8299,8376,8495,9958,11336,12988,14810,17417,19342,18936,19316,21394,20452,18516,17854,15317,15157
USA,293093,304085,306170,280292,305141,297637,288059,278856,271417,276325,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,639704,609914,596010,611186
Argentina,2696,1441,2051,2859,3254,3369,3755,3802,3379,3341,3399,3462,3267,3184,1114,1375,1466,1700,1848,2296,2789,2982,3475,4052,4563,5138,4979,5483,5209
Bolivia,92.9,102,137,144,141,110,135,141,147,180,229,177,173,184,160,173,169,169,180,221,327,346,327,404,500,564,626,576,566
Brazil,5874,8761,9236,6695,4994,7100,10591,14319,14073,13934,14357,9867,11344,10930,9665,8393,9780,13589,16405,20486,24453,25649,34003,36936,33987,32875,32660,24618,23676
Chile,1000,989,1031,1038,1169,1291,1466,1828,1904,2121,2112,2043,2103,1893,1780,2068,2687,3100,3855,4022,4642,3902,4894,5687,5466,5530,5103,4637,4608
Colombia,862,865,890,911,1102,1529,2005,2619,4319,2989,3390,3247,3028,3264,3348,3278,4057,4914,5327,6776,9051,9033,10422,10307,11706,12504,11846,9127,9556
Ecuador,198,189,202,209,211,276,291,475,419,499,549,296,266,384,505,739,710,954,950,1310,1646,1949,2094,2454,2590,2736,2787,2449,2165
Guyana,11.0,6.0,3.6,2.0,3.6,4.4,5.5,5.7,5.6,0.0,0.0,0.0,12.6,14.4,16.7,16.3,22.1,18.5,19.2,25.0,30.5,31.1,31.1,32.4,33.5,35.2,39.3,46.4,48.9
Paraguay,178,98.1,112,198,170,158,161,207,202,168,139,117,110,91.3,69.9,63.5,84.5,77.5,107,132,168,168,205,285,321,371,398,387,343
Peru,737,863,777,698,905,957,1111,1413,1396,1179,1142,992,912,904,840,891,922,1149,1218,1223,1385,1722,1956,2025,2555,2960,2929,3191,2481
Uruguay,260,298,328,269,367,419,450,524,576,575,573,574,556,523,344,270,279,347,393,416,568,577,756,825,925,1045,1035,970,973
Venezuela,1097,1196,738,984,993,1288,940,1199,733,1541,1451,1408,1788,1911,1071,988,1449,2054,2998,2970,4325,4020,3363,2385,4966,5314,5577,5265,9222
Kazakhstan,xxx,xxx,xxx,xxx,0.0,0,107,178,242,237,243,144,144,221,246,318,426,592,793,1360,1541,1272,1502,1804,2178,2551,2306,2046,1102
Kyrgyzstan,xxx,xxx,xxx,xxx,0.0,0.0,28.7,51.6,54.6,55.0,43.8,32.5,39.4,35.8,43.8,55.1,63.0,75.7,89.8,116,149,149,184,211,212,234,252,231,206
Tajikistan,xxx,xxx,xxx,xxx,1.0,23.5,14.2,5.8,13.5,19.1,22.6,15.1,10.4,12.5,25.6,34.8,45.1,0.0,0.0,0.0,52.5,47.5,53.8,71.3,76.3,0.0,104,95.8,0.00
Turkmenistan,xxx,xxx,xxx,xxx,0.0,0.0,79.6,135.6,48.5,106.2,87.5,111.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Uzbekistan,xxx,xxx,xxx,xxx,0.0,0.0,86.9,112.7,172.2,217.7,0.0,250.1,115.4,59.8,45.9,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
"China, P.R.",0,11403,10085,9954,12420,12577,10051,12606,14563,16105,17528,21027,22930,27875,32138,35126,40353,45919,55337,68012,86362,105644,115712,137967,157390,179880,200772,214093,215176
Japan,28216,27966,28800,32785,35999,41354,45286,49962,44047,40635,37849,43123,45510,40758,39334,42486,45340,44301,41553,40530,46361,51465,54655,60762,60012,49024,46635,41103,46126
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",7732,9469,10111,10957,11615,12377,13519,16085,16409,14848,10458,12095,13801,12942,14102,15847,17830,22160,25177,27726,26072,24576,28175,30992,31952,34354,37286,36433,36777
Mongolia,0.0,0.0,0.0,110.8,33.0,14.1,16.4,21.3,21.6,18.7,19.9,18.0,24.3,23.1,25.3,24.3,27.7,29.8,39.2,56.6,66.7,37.6,54.9,87.2,114,103,105,102,102
Taiwan,7110,8142,8701,9304,10071,11653,11953,11470,11765,11325,9232,9569,8801,7982,7531,7473,7833,8011,7645,8157,8960,9123,9092,9998,10497,9964,9802,9803,9924
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,123,131,220,241,252,298,326,239,217,268,200,174
Bangladesh,332,379,373,382,428,471,547,620,639,682,702,737,741,705,682,719,771,774,830,953,1030,1259,1625,1802,1823,2048,2356,2840,3181
India,11346,10590,10537,8622,8083,8254,8881,9754,9905,11465,11921,13896,14288,14601,14750,16334,20239,23072,23952,28255,33002,38722,46090,49634,47217,47404,50914,51295,55923
