Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
France,36105,35317,42590,42703,45123,42591,44393,47768,46403,41308,40041,38897,33814,33277,36404,45917,53007,52909,54516,60595,66009,66884,61782,64601,60035,62417,63614,55342,55745
Germany,35097,33604,42319,39516,41966,37215,36330,41159,38990,33218,33146,32604,28150,27425,29333,35055,38008,38054,38092,42552,48081,47470,46256,48140,46471,45931,46103,39813,41067
Greece,2750,2560,3193,3147,3623,3364,3587,4180,4613,4574,4824,5012,4565,4428,4734,5036,6267,7028,7607,8533,10574,10641,8164,7129,5915,5655,5531,4948,4973
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,19.9,19.5,17.4,0.0,0.0,0.0,0.00
Ireland,453,434,594,625,674,598,634,702,751,765,742,742,695,768,811,965,1102,1145,1190,1372,1583,1416,1274,1300,1158,1196,1193,997,999
Italy,19621,19927,23376,24336,25002,20566,20364,19375,23442,22724,23478,23694,22411,22006,24363,30242,34116,33526,33408,35962,41244,38301,36032,38130,33733,33892,31572,25295,27934
Luxembourg,86.0,76.0,96.7,108,123,108,126,142,141,134,143,141,128,160,153,199,235,244,247,286,237,223,274,257,238,259,279,276,294
Malta,22.4,21.3,21.2,21.7,26.7,24.6,27.9,31.1,33.3,31.1,29.1,28.0,25.4,27.1,28.4,34.1,40.5,52.5,44.4,49.3,56.0,59.1,58.7,55.9,49.9,53.8,56.5,51.8,57.5
Netherlands,6729,6399,7421,7246,7905,7055,7137,8012,7829,6839,6836,7026,5972,6200,6728,8356,9377,9567,10218,11480,12375,12132,11221,11648,10365,10226,10333,8668,9253
Norway,2895,2933,3395,3288,3804,3176,3403,3508,3537,3253,3325,3309,2922,2966,4066,4518,4887,4885,5012,5875,6371,6196,6499,7232,7144,7392,7334,5815,5998
Portugal,1348,1457,1875,2115,2533,2192,2174,2670,2601,2389,2336,2406,2204,2325,2602,3110,3719,4039,4067,4366,4812,4950,4719,4904,4137,4724,4112,3557,3764
Spain,8900,9303,11695,11680,12250,10042,10093,11440,11294,9866,10333,11114,10274,10222,10271,12881,15262,15998,17252,20066,22228,20178,19711,19695,18861,17243,17179,14937,14893
Sweden,4918,5033,6170,6219,6419,5011,5155,5730,6203,5203,5132,5149,4789,4128,4355,5306,5515,5518,5577,6386,6025,5063,5886,6325,6244,6529,6556,5387,5320
Switzerland,3276,3082,4056,4017,4138,3611,3899,4645,4239,3498,3494,3147,2800,2764,2883,3270,3504,3485,3329,3525,4098,4056,4115,4974,4592,5033,4613,4521,4680
UK,34304,33499,38944,42074,40775,34086,34494,34248,34491,35675,36866,36453,35255,35332,39660,46943,53970,55152,57483,65986,65619,57915,58083,60270,58496,56862,59183,53862,48253
Bahrain,207,218,239,263,279,279,285,303,322,322,330,364,359,372,444,516,532,513,574,643,720,828,843,1034,1182,1348,1475,1442,1430
Egypt,4454,3516,2261,1346,1416,1526,1714,1949,2116,2268,2372,2448,2628,2834,2903,2384,2370,2659,2953,3307,3780,4017,4407,4464,4558,4360,5085,5475,4513
Iran,18889,16302,16474,17550,19733,1448,1703,2502,3551,4642,5479,6650,8327,10379,3244,3717,5244,6797,8751,9331,11082,12585,13561,14278,16494,11997,9901,10589,12685
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,1120,1236,1990,3116,3237,3753,4279,4141,7780,6921,9604,6233
Israel,7499,6064,7234,10463,8202,8743,8675,8856,9523,9639,9103,8607,9366,9529,9999,10722,11020,10817,11443,11995,14095,13979,14559,15373,14742,16874,18106,16764,17977
Jordan,588,383,322,433,368,391,408,300,417,444,496,512,529,529,522,612,587,604,702,1032,1358,1568,1558,1595,1473,1445,1549,1616,1770
Kuwait,1704,2076,8962,12924,6316,2980,3296,3692,3241,2454,2282,2286,2697,2686,2822,3131,3450,3509,3598,4116,4430,4209,4335,5394,5942,5698,5832,5503,6561
Lebanon,39,0,214,229,443,453,637,746,736,678,694,830,930,959,907,923,955,963,1009,1152,1169,1426,1585,1627,1757,1936,2270,2239,0.00
Oman,1532,1562,1931,1673,2023,1920,2027,2018,1916,1976,1758,1787,2103,2427,2491,2626,2974,3652,4030,4326,4617,4490,4895,6668,12334,11688,10951,10045,9103
Qatar,983,848,791,896,0,0,0,0,0,0,0,0,0,0,761,785,772,888,1066,1562,2318,1948,1877,0,0,0,0,0,0.00
Saudi Arabia,13355,12750,16355,16355,15360,16451,14280,13200,13340,18127,20862,18320,19964,21027,18502,18747,20910,25392,29581,35470,38223,41267,45245,48531,56498,67020,80762,87186,63673
Syria,3723,1484,1642,2894,2977,1426,1636,958,995,1047,1096,1128,897,1023,1103,1436,1389,1450,1435,1599,1732,2182,2346,2495,0,0,0,0,0.00
Turkey,2664,3374,5315,5671,6158,7075,5293,6606,7512,7792,8781,9952,9994,7216,9050,10278,10921,12081,13363,15319,17127,16352,17939,17305,17958,18663,17772,15881,14803
UAE,0,0,0,0,0,0,0,0,0,3336,4010,4233,5876,5798,5354,5835,6817,6604,7165,8461,11572,13836,17505,19182,19024,23561,22755,0,0.00
Yemen,xxx,xxx,807,1028,1307,1535,2353,806,416,397,385,395,474,540,737,807,735,816,822,1050,1196,1421,1448,1612,1619,1649,1715,0,0.00
"Yemen, North",0,0,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx
